T	IxxLbsInch2	IyyLbsInch2	IzzLbsInch2	IxyLbsInch2	IyzLbsInch2	WeightLb
0	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.01	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.02	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.03	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.04	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.05	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.06	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.07	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.08	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.09	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.1	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.11	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.12	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.13	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.14	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.15	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.16	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.17	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.18	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.19	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.2	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.21	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.22	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.23	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.24	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.25	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.26	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.27	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.28	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.29	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.3	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.31	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.32	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.33	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.34	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.35	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.36	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.37	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.38	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.39	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.4	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.41	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.42	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.43	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.44	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.45	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.46	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.47	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.48	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.49	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
0.5	1.06444e+09	4.76593e+09	5.49179e+09	-7.43075e+06	1.62468e+06	82651.3
